ticket_id,customer_name,customer_email,order_id,product_id,channel,subject,body,priority,created_at,label
bd5acb6e-c185-4509-9629-aa4e08c0d375,Michael Clements,garciastacey@example.org,ORD5475,P274,email,Product P274 is defective — screen doesn't turn on,Product P274 is defective — screen doesn't turn on. Serial: SN-ZBgT-2799.,high,2025-07-18T00:20:44.367299Z,defect
8a7e0a8c-95b0-414b-9815-b562c864b8db,Jennifer Reyes,lgardner@example.net,ORD8930,P827,chat,"Hi, I want a refund for order ORD8930","Hi, I want a refund for order ORD8930. The product arrived damaged and I don't want a replacement. Please advise refund steps.",low,2025-08-08T23:20:44.368089Z,refund
03b42ea0-a90d-4bfd-85a2-26e30f56bc84,Dr. Stephanie Miller,meredithlewis@example.net,ORD5744,P164,chat,Product P164 is defective — screen doesn't turn on,Product P164 is defective — screen doesn't turn on. Serial: SN-MzfR-3672.,medium,2025-07-16T22:20:44.368468Z,defect
1066625a-bcb0-4d80-9a87-ffbe655b7cb4,Joshua Bates,bettyweber@example.com,ORD2059,P657,email,Notice out tell song history skill evidence,Notice out tell song history skill evidence.,medium,2025-07-16T04:20:44.368879Z,other
13ff5565-4b22-4c54-8056-70eee3cf8aa0,Julie Riley,michaeldavis@example.net,,P458,chat,Product P458 is defective — screen doesn't turn on,Product P458 is defective — screen doesn't turn on. Serial: SN-iVIN-0927.,low,2025-07-20T22:20:44.369450Z,defect
203e5575-31d2-4fce-8308-0616ee7b3ab0,Ashley Riggs,jpatel@example.net,ORD5945,P567,chat,Product P567 is defective — screen doesn't turn on,Product P567 is defective — screen doesn't turn on. Serial: SN-oBZg-9931.,high,2025-07-10T09:20:44.369859Z,defect
49944b7f-0df8-4ac5-b6fe-3d07a81a2260,Kimberly Barron,tmoreno@example.net,ORD7289,P232,web,My order ORD7289 hasn't arrived,My order ORD7289 hasn't arrived. Tracking shows stuck at hub for 7 days. Please help with delivery update.,medium,2025-07-14T18:20:44.370191Z,delivery
ac48a022-bcec-497e-9ccb-77a62839e0a5,Donald Mckay,audrey88@example.org,ORD4540,P939,chat,My order ORD4540 hasn't arrived,My order ORD4540 hasn't arrived. Tracking shows stuck at hub for 7 days. Please help with delivery update.,low,2025-07-16T02:20:44.370513Z,delivery
de6adf09-71d6-4dde-a875-8a9156e66c7f,Daniel Ochoa,brian74@example.com,ORD7394,P104,email,My order ORD7394 hasn't arrived,My order ORD7394 hasn't arrived. Tracking shows stuck at hub for 7 days. Please help with delivery update.,low,2025-07-23T11:20:44.370788Z,delivery
aa29829b-b537-4c0c-9b67-c752fdbfa211,Kathryn Hoffman,qerickson@example.net,ORD2216,P969,web,My order ORD2216 hasn't arrived,My order ORD2216 hasn't arrived. Tracking shows stuck at hub for 7 days. Please help with delivery update.,low,2025-08-05T01:20:44.371045Z,delivery
20b2045e-6cc5-42d7-b7ee-c1458d22eddf,Michael Edwards,ashley70@example.net,,P870,web,"Hi, I want a refund for order ","Hi, I want a refund for order . The product arrived damaged and I don't want a replacement. Please advise refund steps.",low,2025-08-07T12:20:44.371351Z,refund
006f7f55-f5b2-4d13-93de-329e82e540be,Jacob Whitney,garciakurt@example.net,,P158,web,My order  hasn't arrived,My order  hasn't arrived. Tracking shows stuck at hub for 7 days. Please help with delivery update.,high,2025-07-14T17:20:44.371637Z,delivery
0524f3d2-30e0-4064-be59-2687a8b2f376,Lisa Lloyd,collinsbrian@example.net,ORD9219,P795,email,Authority already though institution admit offer difficult,Authority already though institution admit offer difficult. Federal because human arrive possible find oil contain.,low,2025-07-13T21:20:44.371991Z,other
917ad015-ce44-4c3a-a752-7af862710c13,Katherine Pace,andrew29@example.com,,P742,email,Same federal continue center improve easy,Same federal continue center improve easy.,medium,2025-07-29T08:20:44.372521Z,other
6fefbb5f-784b-4e59-af3e-81278a140ef8,Tanya Conrad,hernandezalbert@example.com,ORD1931,P891,web,"Hi, I want a refund for order ORD1931","Hi, I want a refund for order ORD1931. The product arrived damaged and I don't want a replacement. Please advise refund steps.",low,2025-07-11T23:20:44.372844Z,refund
13dd4105-b323-4d60-afa8-1b38f448b76a,Jonathan Ferrell,schneiderchristopher@example.org,,P844,web,My order  hasn't arrived,My order  hasn't arrived. Tracking shows stuck at hub for 7 days. Please help with delivery update.,high,2025-07-13T00:20:44.373181Z,delivery
5540a53f-d649-4e3d-8670-20a560229f77,Mary Schwartz,owhite@example.net,ORD5519,P710,web,My order ORD5519 hasn't arrived,My order ORD5519 hasn't arrived. Tracking shows stuck at hub for 7 days. Please help with delivery update.,medium,2025-07-16T20:20:44.373562Z,delivery
938feb81-760e-4a9a-9732-748d3287556a,Michael Johnson,middletonjoe@example.org,ORD3536,P732,email,My order ORD3536 hasn't arrived,My order ORD3536 hasn't arrived. Tracking shows stuck at hub for 7 days. Please help with delivery update.,low,2025-07-10T23:20:44.373838Z,delivery
5914d8df-21e8-4504-bdf8-2b82544dacf3,Debra Landry,aholmes@example.net,,P353,web,My order  hasn't arrived,My order  hasn't arrived. Tracking shows stuck at hub for 7 days. Please help with delivery update.,medium,2025-08-05T01:20:44.374160Z,delivery
822d32c4-30ac-4d1b-8230-f1bbb4c9497f,Robin Cross,zhouse@example.com,,P542,web,My order  hasn't arrived,My order  hasn't arrived. Tracking shows stuck at hub for 7 days. Please help with delivery update.,low,2025-07-29T07:20:44.374451Z,delivery
c15c302a-8f76-44cb-b39d-d0d4eb71c6ee,Jessica Hopkins,brenda12@example.net,ORD7790,P562,web,Product P562 is defective — screen doesn't turn on,Product P562 is defective — screen doesn't turn on. Serial: SN-HdXG-0073.,low,2025-08-02T01:20:44.374731Z,defect
613f198f-4c65-4f39-87c1-56707b037e0a,Jennifer Randall PhD,josephklein@example.net,ORD2185,P331,chat,"Hi, I want a refund for order ORD2185","Hi, I want a refund for order ORD2185. The product arrived damaged and I don't want a replacement. Please advise refund steps.",low,2025-07-13T04:20:44.375008Z,refund
4475d7f6-ee3c-42e1-a8b2-86e85aee0bc7,Reginald Hernandez,sandrareid@example.com,ORD9731,P672,web,My order ORD9731 hasn't arrived,My order ORD9731 hasn't arrived. Tracking shows stuck at hub for 7 days. Please help with delivery update.,medium,2025-07-19T01:20:44.375389Z,delivery
5883b4c3-bc87-4cc8-955c-3d03e4e9590b,Brenda Ball,michaelmoore@example.net,ORD7612,P285,web,"Hi, I want a refund for order ORD7612","Hi, I want a refund for order ORD7612. The product arrived damaged and I don't want a replacement. Please advise refund steps.",medium,2025-08-06T16:20:44.375768Z,refund
d267f329-3c9d-4688-9b5f-b762c9da22e2,Stacy Caldwell,elizabethmendez@example.net,,P990,web,Another me hard yet evidence itself,Another me hard yet evidence itself. As husband participant claim.,low,2025-07-31T12:20:44.376098Z,other
5645d507-52e6-4ee3-8c72-4cccb66cc3a2,Amanda Harris,paulbaker@example.com,ORD8179,P358,web,Product P358 is defective — screen doesn't turn on,Product P358 is defective — screen doesn't turn on. Serial: SN-ljjr-4433.,low,2025-08-01T03:20:44.377515Z,defect
784c5897-0d13-4db2-bd08-4553292770d9,Michael Clayton,delliott@example.com,ORD9832,P658,email,Relationship create trade,Relationship create trade. Enter politics second ability include.,low,2025-07-30T16:20:44.378278Z,other
690ff7d9-7cf2-494b-9a2f-3d59a34ab5ba,Vincent Odom,hodgeashley@example.com,ORD4108,P947,chat,My order ORD4108 hasn't arrived,My order ORD4108 hasn't arrived. Tracking shows stuck at hub for 7 days. Please help with delivery update.,medium,2025-07-15T06:20:44.378874Z,delivery
2a50b09e-bf5b-418c-a509-2660abd88b85,Christopher Romero,nathanmcdaniel@example.com,ORD2828,P595,email,"Hi, I want a refund for order ORD2828","Hi, I want a refund for order ORD2828. The product arrived damaged and I don't want a replacement. Please advise refund steps.",low,2025-08-02T22:20:44.379231Z,refund
d5968d34-f3f0-4408-b9fa-68cf17ef4265,Tamara Mcguire,walkerrebekah@example.com,,P839,chat,Product P839 is defective — screen doesn't turn on,Product P839 is defective — screen doesn't turn on. Serial: SN-oblR-2516.,low,2025-07-12T17:20:44.379706Z,defect
ccdc3221-b9c3-4fcb-aee0-6cc8fb944bfc,April Liu,patrickleah@example.com,ORD7367,P990,email,Product P990 is defective — screen doesn't turn on,Product P990 is defective — screen doesn't turn on. Serial: SN-MTlR-9377.,high,2025-08-01T23:20:44.380189Z,defect
82940f55-1743-4234-8e62-3fd9d36b9998,Renee Rios,jillianhunt@example.com,ORD5636,P417,chat,"Hi, I want a refund for order ORD5636","Hi, I want a refund for order ORD5636. The product arrived damaged and I don't want a replacement. Please advise refund steps.",low,2025-07-10T14:20:44.380633Z,refund
ae7da6a9-c35e-4905-9f95-a5fbd051c0d4,Pamela Brooks,milleranne@example.org,,P431,chat,"Hi, I want a refund for order ","Hi, I want a refund for order . The product arrived damaged and I don't want a replacement. Please advise refund steps.",low,2025-07-20T07:20:44.381001Z,refund
0920cfaf-116d-4491-b257-5018dca21687,William Kelly,nicholas57@example.net,ORD8009,P894,email,Product P894 is defective — screen doesn't turn on,Product P894 is defective — screen doesn't turn on. Serial: SN-IrrG-9832.,low,2025-07-17T11:20:44.381380Z,defect
f09bb02c-25f4-48d5-b81e-251744a274c4,Kimberly Perry,frank28@example.org,ORD9454,P252,email,My order ORD9454 hasn't arrived,My order ORD9454 hasn't arrived. Tracking shows stuck at hub for 7 days. Please help with delivery update.,low,2025-08-03T13:20:44.381755Z,delivery
886fca95-b180-4d37-ad8e-f1c70fce8974,Donna Parsons,brendan31@example.org,ORD3051,P945,web,Strong occur thus fear assume page language,Strong occur thus fear assume page language.,low,2025-08-06T09:20:44.382029Z,other
dd404341-ee9c-43aa-a821-1890808685bc,Jason Evans,dlloyd@example.net,,P789,web,"Hi, I want a refund for order ","Hi, I want a refund for order . The product arrived damaged and I don't want a replacement. Please advise refund steps.",low,2025-07-29T05:20:44.382489Z,refund
a7558e61-6714-43e4-ba5e-79d1a7956a42,Caleb Davis,donna06@example.net,ORD9629,P149,chat,Product P149 is defective — screen doesn't turn on,Product P149 is defective — screen doesn't turn on. Serial: SN-PNxm-4513.,low,2025-08-03T07:20:44.382840Z,defect
67515ea1-2417-4414-91e1-fe1df20ac950,Mary Krause,harrisdaniel@example.org,ORD1435,P283,web,"Hi, I want a refund for order ORD1435","Hi, I want a refund for order ORD1435. The product arrived damaged and I don't want a replacement. Please advise refund steps.",medium,2025-07-30T22:20:44.383133Z,refund
296a94c0-a4b6-4cbc-bede-25b9fb1b7da6,George Barnett,castrodavid@example.com,ORD3539,P573,email,"Hi, I want a refund for order ORD3539","Hi, I want a refund for order ORD3539. The product arrived damaged and I don't want a replacement. Please advise refund steps.",low,2025-07-22T13:20:44.383517Z,refund
505a494f-8954-4320-863e-66d8d98b465a,Jenny Pollard,hamiltonerin@example.org,ORD5242,P170,web,So church story reality and south hard decision,So church story reality and south hard decision. Lose article car final mean window economic few.,low,2025-07-26T07:20:44.383865Z,other
